ID,Nombre,Apellido,Email,Teléfono,Pais
1,Juan,Pérez,juan.perez@email.com,1234567890,Argentina
2,María,Gómez,,0987654321,NULL
3,Carlos,Ramírez,carlos.ramirez@email.com,,México
4,Laura,,laura@email.com,1122334455,Perú
5,Jorge,López,jorge.lopez@email.com,2233445566,
6,Ana,Martínez,,6677889900,Argentina
7,,Sánchez,m.sanchez@email.com,3344556677,Colombia
8,Luis,Torres,luis@email.com,9988776655,México
9,Sofía,Mendoza,sofia.mendoza@email.com,7788990011,Chile
10,Diego,Castro,,5566778899,Argentina
11,Valentina,Paz,valentina@email.com,,Perú
12,Martín,García,martin.garcia@email.com,1231231234,
13,Lucía,Ríos,,5556667777,Uruguay
14,Camila,Cruz,camila.cruz@email.com,8889990000,Chile
15,,Suárez,suarez@email.com,1112223333,México
16,Pedro,Domínguez,pedro@email.com,4445556666,
17,Natalia,Fernández,,9998887777,Argentina
18,Esteban,,esteban@email.com,3216549870,Chile
19,Florencia,Muñoz,flor.muñoz@email.com,,Uruguay
20,Andrés,Ortega,andres@email.com,6667778888,Perú
